Player,Mat,Inns,Runs,HS,NO,Ave,BF,SR,Centuries,Fifties,Ducks,Fours,Sixes
Shubman Gill (GT),17,17,890,129,0,59.33,564,157.8,3,4,1,85,33
F du Plessis (RCB),14,14,730,84,0,56.15,475,153.68,0,8,0,60,36
DP Conway (CSK),16,15,672,92,1,51.69,481,139.7,0,6,1,77,18
V Kohli (RCB),14,14,639,101,1,53.25,457,139.82,2,6,1,65,16
YBK Jaiswal (RR),14,14,625,124,0,48.07,382,163.61,1,5,1,82,26
SA Yadav (MI),16,16,605,103,1,43.21,334,181.13,1,5,1,65,28
RD Gaikwad (CSK),16,15,590,92,0,42.14,400,147.5,0,4,0,46,30
DA Warner (DC),14,14,516,86,0,36.85,392,131.63,0,6,2,69,10
RK Singh (KKR),14,14,474,67,1,59.25,317,149.52,0,4,0,31,29
Ishan Kishan (MI),16,15,454,75,0,30.26,318,142.76,0,3,0,54,18
C Green (MI),16,16,452,100,1,50.22,282,160.28,1,2,0,40,22
H Klaasen (SRH),12,11,448,104,0,49.77,253,177.07,1,2,0,32,25
S Dube (CSK),16,14,418,52,0,38,264,158.33,0,3,0,12,35
N Rana (KKR),14,14,413,75,0,31.76,293,140.95,0,3,0,39,20
MP Stoinis (LSG),15,15,408,89,1,31.38,272,150,0,3,2,28,27
VR Iyer (KKR),14,14,404,104,0,28.85,277,145.84,1,2,1,32,21
GJ Maxwell (RCB),14,14,400,77,0,33.33,218,183.48,0,5,2,29,31
JC Buttler (RR),14,14,392,95,0,28,282,139,0,4,5,42,14
KR Mayers (LSG),13,13,379,73,0,29.15,263,144.1,0,4,2,38,22
S Dhawan (PBKS),11,11,373,99,1,41.44,261,142.91,0,3,1,49,12
WP Saha (GT),17,17,371,81,0,23.18,287,129.26,0,2,2,47,8
B Sai Sudharsan (GT),8,8,362,96,0,51.71,256,141.4,0,3,0,33,12
SV Samson (RR),14,14,362,66,1,30.16,236,153.38,0,3,2,25,24
Prabhsimran Singh (PBKS),14,14,358,103,0,25.57,238,150.42,1,1,2,38,19
N Pooran (LSG),15,15,358,62,0,29.83,207,172.94,0,2,2,26,26
HH Pandya (GT),16,15,346,66,0,31.45,253,136.75,0,2,0,26,15
NT Tilak Varma (MI),11,11,343,84,1,42.87,209,164.11,0,1,0,26,23
RG Sharma (MI),16,16,332,65,0,20.75,250,132.8,0,2,2,35,17
AM Rahane (CSK),14,11,326,71,1,32.6,189,172.48,0,2,0,24,16
JM Sharma (PBKS),14,14,309,49,1,23.76,198,156.06,0,0,1,22,21
V Shankar (GT),14,10,301,63,1,37.62,188,160.1,0,3,0,27,15
SO Hetmyer (RR),14,13,299,56,1,37.37,197,151.77,0,1,0,12,23
JJ Roy (KKR),8,8,285,61,0,35.62,188,151.59,0,2,0,36,12
AR Patel (DC),14,13,283,54,0,28.3,203,139.4,0,1,0,21,15
